name,text,Lidor,Liora,Roee,Barak,Ania,Or,Ben,Skyler
PRES_OBAMA_UNBREAKABLE,"I'm doctor James Dobson, speaking to you as a private citizen. My wife Shirley and I have joined thousands of conservative pastors and laymen and endorsing senator Ted Cruz for president. I know Ted. He's a christian family man of the utmost integrity. His wife Heidi will be the very first pro-life first lady. We need a president who will defend the Constitution and nominate conservatives to the high court. His name is Ted Cruz. I'm Ted Cruz and I approve this message.",0,center,center,0,center,center,0,0
PRES_OBAMA_WHAT_ARE_YOU_GOING_TO_TELL_THEM_OH,"When no one else would take on Washington. ""Who actually has stood up, not just two Democrats, but two leaders in our own heart."" Ted Cruz has led the fight. ""When millions of Americans rose up against Obamacare, I was proud to lead that fight. When millions of Americans rose up against amnesty, I was proud to lead that fight. When millions of Americans rose up against Planned Parenthood, I was proud to lead that fight."" Leadership you can trust. I'm Ted Cruz and I approve this message.",center,center,both,0,center,0,0,0
PRES_OBAMA_WON'T_SAY,"This is a time for choosing. All of America is looking to Indiana to make a choice. I'm a Reagan conservative. I see Ted Cruz as a principled conservative who has dedicated his career to advocating the Reagan agenda. I really admire the way Ted Cruz has been willing to stand up for taxpayers in opposing runaway spending deficits and debt, calling for repealing Obamacare. I will be voting for Ted Cruz. I'm Ted Cruz and I approve this message.",center,base,0,center,0,0,center,center
PRES_PATRIOT_ROMNEY_IS_BAIN,"I'm Ted Cruz and I approve this message. Donald Trump and Hillary Clinton are two sides of the same coin. Both support raising taxes, both supported Bill Clinton's nationwide ban on popular firearms and both support letting transgender men go in little girls bathrooms. ""They use the bathroom that they feel is appropriate."" Trump and Hillary. Do we really want two big government liberals on the ballot in November?",center,center,0,0,center,0,0,0
PRES_PRIORITIESUSA&LCV_IN_THE_TANK_FOR_BIG_OIL,"I'm Ted Cruz and I approve this message. Hi, I'm Steve King. You know me and I know Ted Cruz. He will make a great president. Together we defeated the Gang of Eight Amnesty Bill. Come to caucus on February 1st and caucus for Ted Cruz.",0,center,0,center,0,both,0,0
PRES_PRIORITIESUSA_BANKRUPT,"I'm Ted Cruz and I approve this message. The next president will likely choose three or, possibly, four new justices to the Supreme Court. Our liberty hangs in the balance. ""Would President Trump ban partial-birth abortions?"", ""Well, look. I am very pro-choice."", ""But you would not ban it?"", ""No. I am pro-choice in every respect."" We cannot trust Donald Trump with the serious decisions.",0,center,center,0,center,0,0,0
PRES_PRIORITIESUSA_HATE_60,"""The next election is 14 months away and the people who sent us here, the people who hired us to work for them, they don't have the luck of waiting 14 months. Some of them are living week to week, paycheck to paycheck, even day to day, they need help. And they need it now. Members of Congress, it is time for us to meet our responsibilities. The Democratic National Committee is responsible for the content of this advertising.",0,center,0,center,0,both,0,0
PRES_PRIORITIESUSA_HEADS_OR_TAILS,"""I'm Connie from Green Bay, Wisconsin. I voted for Barack Obama in 08."", ""I voted for Barack Obama."", ""I voted for Obama."", ""I was wrong. I didn't see any hope and change. He said, he'd cut the deficit in half seeing massive unemployment. It doesn't have to be this way."", ""This time this year, I've changed to Mitt Romney and Paul Ryan because they are our children's future. Paul Ryan embodies the work ethic of Wisconsin. They're going to turn this country around."" Ending Spending Action Fund is responsible for the content of this advertising.",center,center,center,0,0,0,0,0
PRES_PRIORITIESUSA_HIS_WORDS,"Hillary Clinton gave speeches to the biggest banks on Wall Street after one of the worst financial crisis in American history, but Hillary won't tell us what she said to those banks who pay her over 1 million dollars and are contributing millions more to elector. So before you promised your vote to Hillary, don't you deserve to know what she promised them? Future 45 is responsible for the content of this advertising.",center,center,center,center,center,0,0,0
PRES_PRIORITIESUSA_I_LOVE_WAR,Generation Forward PAC is responsible for the content of this advertising.,0,center,center,center,center,0,0,0
PRES_PRIORITIESUSA_REPUBLICANS_ARE_RIGHT,"Romney's economic plan? Timid. Parts of it virtually identical to Obama's failed policy. Timid won't create jobs and timid certainly won't defeat Barak Obama. Newt Gingrich's bold leadership balanced the budget, reformed welfare, helped create millions of new jobs. The Gingrich jobs plan, a powerful plan for growing our economy and creating jobs. Rebuilding the America we love with bold, conservative leadership. I'm Newt Gingrich and I approve this message.",0,center,center,center,center,0,0,0
PRES_PRIORITIESUSA_UNDERSTANDS_60,"Today Mitt Romney says he supports President Bush's tax cuts. As Governor, refused to support them. Indeed, as a liberal Governor, Mitt Romney increased fees and taxes by 700 million dollars. Now, he attacks Newt Gingrich. But as Speaker Newts leadership helped reduce spending balance the budget and create 11 million new jobs. If Romney would mislead us in all this, can we trust him on anything else? I'm Newt Gingrich and I approve this message.",center,center,both,0,0,both,0,0
PRES_REBUILDINGAMERICA_CLASSIFIED,"What happened after Massachusetts moderate Mitt Romney changed his position from pro-abortion to pro-life? He governed pro-abortion. Romney appointed a pro-abortion judge, expanded access to abortion pills, put planned parenthood on a state medical board, but failed to put a pro-life group on the same board. And Romney signed government mandated healthcare with taxpayer funded abortions. Massachusetts moderate Mitt Romney. He can't be trusted. I'm Newt Gingrich and I approve this message.",0,center,0,center,0,both,0,0
PRES_REBUILDINGAMERICA_CLASSIFIED_REOPENING,"""If a man's dishonest to obtain a job, he'll be dishonest on the job."" What kind of man would mislead, distort and deceive just to win an election? This man would. Mitt Romney. Romney said he is always voted Republican when he had the opportunity, but in the 1992, Massachusetts primary Romney had the chance to vote for George HW Bush or Pat Buchanan, but he voted for a liberal Democrat instead. Romney said his investments in Fannie and Freddie were in a blind trust, but as reported in the National Journal, Romney earned tens of thousands of dollars from Investments, not in a blind trust. Romney denied seeing a false ad his campaign used to attack Newt Gingrich, but Romney's own campaign paid for the ad and Romney's own voice is on the ad approving its false content. If we can't trust what Mitt Romney says about his own record, how can we trust him on anything? I'm Newt Gingrich and I approve this message.",0,center,0,0,center,0,0,center
PRES_REBUILDINGAMERICA_DEAD_BROKE,"8656 8841 and press one to pledge, your support for Donald Trump. Donald Trump is a multi-front war against not only the Democrats but the Elites in his own party that want to destroy him. The GOP is trying to take Trump's nomination away through a contested convention. They need to hear from the millions of Americans now who will not let this happen. Call 8656 8841 one now, and press one to pledge your support for Donald Trump. Join the movement, call now. Great America PAC is responsible for the content of this advertising.",center,center,0,0,center,0,0,0
